99AA01-1117-8866	
This data is for reference only	
Wvl	reflectance
250	0.9810
251	0.9801
252	0.9807
253	0.9824
254	0.9816
255	0.9816
256	0.9831
257	0.9824
258	0.9834
259	0.9845
260	0.9842
261	0.9838
262	0.9852
263	0.9851
264	0.9862
265	0.9868
266	0.9859
267	0.9865
268	0.9873
269	0.9875
270	0.9863
271	0.9879
272	0.9878
273	0.9884
274	0.9893
275	0.9894
276	0.9895
277	0.9901
278	0.9895
279	0.9895
280	0.9894
281	0.9894
282	0.9906
283	0.9917
284	0.9905
285	0.9917
286	0.9917
287	0.9909
288	0.9913
289	0.9919
290	0.9916
291	0.9908
292	0.9918
293	0.9933
294	0.9928
295	0.9907
296	0.9912
297	0.9900
298	0.9913
299	0.9918
300	0.9912
301	0.9913
302	0.9908
303	0.9906
304	0.9913
305	0.9917
306	0.9923
307	0.9911
308	0.9913
309	0.9908
310	0.9921
311	0.9906
312	0.9907
313	0.9909
314	0.9911
315	0.9907
316	0.9896
317	0.9909
318	0.9915
319	0.9915
320	0.9889
321	0.9908
322	0.9895
323	0.9880
324	0.9911
325	0.9893
326	0.9880
327	0.9901
328	0.9902
329	0.9892
330	0.9899
331	0.9902
332	0.9907
333	0.9898
334	0.9897
335	0.9887
336	0.9885
337	0.9901
338	0.9903
339	0.9890
340	0.9896
341	0.9899
342	0.9888
343	0.9901
344	0.9911
345	0.9895
346	0.9906
347	0.9912
348	0.9899
349	0.9881
350	0.9897
351	0.9902
352	0.9893
353	0.9895
354	0.9890
355	0.9888
356	0.9906
357	0.9902
358	0.9901
359	0.9912
360	0.9908
361	0.9895
362	0.9892
363	0.9895
364	0.9908
365	0.9909
366	0.9901
367	0.9899
368	0.9908
369	0.9903
370	0.9895
371	0.9899
372	0.9897
373	0.9894
374	0.9890
375	0.9892
376	0.9905
377	0.9894
378	0.9894
379	0.9897
380	0.9900
381	0.9899
382	0.9900
383	0.9904
384	0.9905
385	0.9901
386	0.9900
387	0.9901
388	0.9903
389	0.9899
390	0.9899
391	0.9904
392	0.9906
393	0.9906
394	0.9909
395	0.9907
396	0.9906
397	0.9910
398	0.9909
399	0.9909
400	0.9909
401	0.9908
402	0.9909
403	0.9908
404	0.9908
405	0.9909
406	0.9907
407	0.9904
408	0.9904
